Date,Open,High,Low,Close,Adj Close,Volume
2021-06-12,37311.0,37437.0,34600.5,35521.0,35521.0,1366679200
2021-06-13,35521.0,39415.0,34754.0,39022.5,39022.5,1445198100
2021-06-14,39022.5,40995.0,38651.0,40515.0,40515.0,1672058500
2021-06-15,40515.0,41338.0,39510.0,40149.5,40149.5,1313076100
2021-06-16,40149.5,40472.0,38018.0,38310.5,38310.5,1471046100
2021-06-17,38310.5,39540.0,37317.5,38050.0,38050.0,1206252200
2021-06-18,38050.0,38176.5,35123.5,35788.0,35788.0,1421015100
2021-06-19,35788.0,36434.0,34801.0,35483.5,35483.5,1080696900
2021-06-20,35483.5,36159.0,33333.0,35582.0,35582.0,1513812100
2021-06-21,35582.0,35747.5,31086.0,31619.0,31619.0,2478047000
2021-06-22,31619.0,33294.0,28803.0,32519.5,32519.5,2489334600
2021-06-23,32519.5,34800.0,31752.0,33654.0,33654.0,1392033900
2021-06-24,33654.0,35361.0,32307.5,34637.0,34637.0,1161417800
2021-06-25,34637.0,35579.0,31247.5,31562.5,31562.5,1636666600
2021-06-26,31562.5,32719.5,30149.0,32244.5,32244.5,1493017000
2021-06-27,32244.5,34799.0,32000.0,34706.0,34706.0,1292964300
2021-06-28,34706.0,35277.0,33879.0,34463.0,34463.0,1190523200
2021-06-29,34463.0,36585.0,34198.5,35920.5,35920.5,1153867100
2021-06-30,35920.5,36079.5,34042.0,35028.0,35028.0,1364084700
2021-07-01,35028.0,35037.0,32710.5,33507.5,33507.5,1273473100
2021-07-02,33507.5,33965.5,32641.0,33790.5,33790.5,965701200
2021-07-03,33790.5,34942.5,33257.5,34668.0,34668.0,752843500
2021-07-04,34668.0,35945.0,34360.0,35290.5,35290.5,612414600
2021-07-05,35290.5,35291.0,33017.0,33712.0,33712.0,1135244100
2021-07-06,33712.0,35101.0,33488.0,34213.5,34213.5,1095961700
2021-07-07,34213.5,35080.0,33755.0,33836.0,33836.0,885812600
2021-07-08,33836.0,33900.0,32130.0,32855.0,32855.0,1100771500
2021-07-09,32855.0,34093.0,32255.0,33813.0,33813.0,708163600
2021-07-10,33813.0,34240.5,33030.5,33500.0,33500.0,659555400
2021-07-11,33500.0,34633.0,33333.0,34256.0,34256.0,620951400
2021-07-12,34256.0,34669.5,32642.0,33080.0,33080.0,946512100
2021-07-13,33080.0,33331.0,32147.5,32712.5,32712.5,789833800
2021-07-14,32712.5,33080.0,31573.0,32806.0,32806.0,801923800
2021-07-15,32806.0,33169.5,31114.5,31863.0,31863.0,943755400
2021-07-16,31863.0,32240.5,31015.0,31380.0,31380.0,949397600
2021-07-17,31380.0,31930.0,31130.0,31509.5,31509.5,734985600
2021-07-18,31509.5,32438.5,31064.0,31768.5,31768.5,743551900
2021-07-19,31768.5,31889.5,30404.5,30805.5,30805.5,807165600
2021-07-20,30805.5,31040.0,29211.5,29779.0,29779.0,1154576800
2021-07-21,29779.0,32828.5,29492.0,32105.5,32105.5,1221085100
2021-07-22,32105.5,32594.5,31709.0,32298.5,32298.5,632301200
2021-07-23,32298.5,33599.0,32005.0,33599.0,33599.0,786420500
2021-07-24,33599.0,34515.0,33419.5,34253.5,34253.5,909708500
2021-07-25,34253.5,35433.0,33875.0,35392.0,35392.0,861634700
2021-07-26,35392.0,40540.5,35266.5,37240.0,37240.0,3140235400
2021-07-27,37240.0,39540.0,36379.0,39473.5,39473.5,1740744600
2021-07-28,39473.5,40950.0,38728.5,39998.0,39998.0,2010107500
2021-07-29,39998.0,40677.5,39212.5,40034.5,40034.5,1105934800
2021-07-30,40034.5,42333.0,38342.0,42260.5,42260.5,1454327600
2021-07-31,42260.5,42440.0,41050.0,41439.5,41439.5,819371700
2021-08-01,41439.5,42648.0,39364.0,39810.5,39810.5,1221283400
2021-08-02,39810.5,40432.0,38683.5,39151.0,39151.0,1187917400
2021-08-03,39151.0,39810.0,37470.0,38173.5,38173.5,1360143200
